"Illicitly produce 'Debtors'" "Conspiracy0" 1;
"Illicitly consume 'Debtors'" "Conspiracy0" 1;
"Illicitly deregister 'Direct debit / collect debtors'" "Conspiracy1" 1;
"Illicitly consume 'Cash / bank'" "Conspiracy1" 1;
"Illicitly produce 'Debtors'" "Conspiracy1" 1;
"Direct debit / collect debtors" "Conspiracy1" 1;
"Illicitly deregister 'Sales'" "Conspiracy2" 1;
"Illicitly deregister 'Direct debit / collect debtors'" "Conspiracy2" 600;
"Illicitly consume 'Cash / bank'" "Conspiracy2" 600;
"Illicitly consume 'Yearly contracts'" "Conspiracy2" 5;
"Sales" "Conspiracy2" 1;
"Direct debit / collect debtors" "Conspiracy2" 600;
"Illicitly deregister 'Sales'" "Conspiracy3" 1;
"Illicitly consume 'Yearly contracts'" "Conspiracy3" 5;
"Illicitly consume 'Debtors'" "Conspiracy3" 600;
"Sales" "Conspiracy3" 1;
"Illicitly deregister 'Purchase maintenance supplies'" "Conspiracy4" 10;
"Illicitly deregister 'Sales'" "Conspiracy4" 1;
"Illicitly deregister 'Payment to creditors'" "Conspiracy4" 600;
"Illicitly deregister 'Direct debit / collect debtors'" "Conspiracy4" 600;
"Illicitly consume 'Yearly contracts'" "Conspiracy4" 5;
"Illicitly consume 'Maintenance supplies'" "Conspiracy4" 100;
"Purchase maintenance supplies" "Conspiracy4" 10;
"Sales" "Conspiracy4" 1;
"Payment to creditors" "Conspiracy4" 600;
"Direct debit / collect debtors" "Conspiracy4" 600;
"Illicitly deregister 'Purchase maintenance supplies'" "Conspiracy5" 1;
"Illicitly deregister 'Payment to creditors'" "Conspiracy5" 60;
"Illicitly deregister 'Direct debit / collect debtors'" "Conspiracy5" 60;
"Illicitly consume 'Maintenance supplies'" "Conspiracy5" 10;
"Illicitly produce 'Debtors'" "Conspiracy5" 60;
"Purchase maintenance supplies" "Conspiracy5" 1;
"Payment to creditors" "Conspiracy5" 60;
"Direct debit / collect debtors" "Conspiracy5" 60;
"Illicitly deregister 'Sales'" "Conspiracy6" 1;
"Illicitly deregister 'Payment to creditors'" "Conspiracy6" 600;
"Illicitly deregister 'Direct debit / collect debtors'" "Conspiracy6" 600;
"Illicitly consume 'Yearly contracts'" "Conspiracy6" 5;
"Illicitly produce 'Creditors'" "Conspiracy6" 600;
"Sales" "Conspiracy6" 1;
"Payment to creditors" "Conspiracy6" 600;
"Direct debit / collect debtors" "Conspiracy6" 600;
"Illicitly deregister 'Payment to creditors'" "Conspiracy7" 1;
"Illicitly deregister 'Direct debit / collect debtors'" "Conspiracy7" 1;
"Illicitly produce 'Creditors'" "Conspiracy7" 1;
"Illicitly produce 'Debtors'" "Conspiracy7" 1;
"Payment to creditors" "Conspiracy7" 1;
"Direct debit / collect debtors" "Conspiracy7" 1;
"Illicitly deregister 'Sales'" "Conspiracy8" 1;
"Illicitly deregister 'Payment to creditors'" "Conspiracy8" 600;
"Illicitly deregister 'Purchase maintenance tools and transport'" "Conspiracy8" 12;
"Illicitly deregister 'Direct debit / collect debtors'" "Conspiracy8" 600;
"Illicitly consume 'Yearly contracts'" "Conspiracy8" 5;
"Illicitly consume 'Durable maintenance resources'" "Conspiracy8" 60;
"Sales" "Conspiracy8" 1;
"Payment to creditors" "Conspiracy8" 600;
"Purchase maintenance tools and transport" "Conspiracy8" 12;
"Direct debit / collect debtors" "Conspiracy8" 600;
"Illicitly deregister 'Payment to creditors'" "Conspiracy9" 50;
"Illicitly deregister 'Purchase maintenance tools and transport'" "Conspiracy9" 1;
"Illicitly deregister 'Direct debit / collect debtors'" "Conspiracy9" 50;
"Illicitly consume 'Durable maintenance resources'" "Conspiracy9" 5;
"Illicitly produce 'Debtors'" "Conspiracy9" 50;
"Payment to creditors" "Conspiracy9" 50;
"Purchase maintenance tools and transport" "Conspiracy9" 1;
"Direct debit / collect debtors" "Conspiracy9" 50;
"Illicitly deregister 'Sales'" "Conspiracy10" 1;
"Illicitly deregister 'Payment to creditors'" "Conspiracy10" 600;
"Illicitly deregister 'Purchase other maintenance resources'" "Conspiracy10" 15;
"Illicitly deregister 'Direct debit / collect debtors'" "Conspiracy10" 600;
"Illicitly consume 'Yearly contracts'" "Conspiracy10" 5;
"Illicitly consume 'Other maintenance resources'" "Conspiracy10" 75;
"Sales" "Conspiracy10" 1;
"Payment to creditors" "Conspiracy10" 600;
"Purchase other maintenance resources" "Conspiracy10" 15;
"Direct debit / collect debtors" "Conspiracy10" 600;
"Illicitly deregister 'Payment to creditors'" "Conspiracy11" 40;
"Illicitly deregister 'Purchase other maintenance resources'" "Conspiracy11" 1;
"Illicitly deregister 'Direct debit / collect debtors'" "Conspiracy11" 40;
"Illicitly consume 'Other maintenance resources'" "Conspiracy11" 5;
"Illicitly produce 'Debtors'" "Conspiracy11" 40;
"Payment to creditors" "Conspiracy11" 40;
"Purchase other maintenance resources" "Conspiracy11" 1;
"Direct debit / collect debtors" "Conspiracy11" 40;
"Illicitly deregister 'Sales'" "Conspiracy12" 1;
"Illicitly deregister 'Maintenance visit'" "Conspiracy12" 5;
"Illicitly deregister 'Purchase maintenance tools and transport'" "Conspiracy12" 1;
"Illicitly deregister 'Purchase other maintenance resources'" "Conspiracy12" 1;
"Illicitly deregister 'Direct debit / collect debtors'" "Conspiracy12" 600;
"Illicitly consume 'Cash / bank'" "Conspiracy12" 600;
"Illicitly produce 'Maintenance supplies'" "Conspiracy12" 10;
"Illicitly consume 'Creditors'" "Conspiracy12" 90;
"Illicitly produce 'Maintenance man-hours'" "Conspiracy12" 15;
"Sales" "Conspiracy12" 1;
"Maintenance visit" "Conspiracy12" 5;
"Purchase maintenance tools and transport" "Conspiracy12" 1;
"Purchase other maintenance resources" "Conspiracy12" 1;
"Direct debit / collect debtors" "Conspiracy12" 600;
"Illicitly deregister 'Sales'" "Conspiracy13" 1;
"Illicitly deregister 'Maintenance visit'" "Conspiracy13" 5;
"Illicitly deregister 'Purchase maintenance tools and transport'" "Conspiracy13" 1;
"Illicitly deregister 'Purchase other maintenance resources'" "Conspiracy13" 1;
"Illicitly produce 'Maintenance supplies'" "Conspiracy13" 10;
"Illicitly consume 'Creditors'" "Conspiracy13" 90;
"Illicitly produce 'Maintenance man-hours'" "Conspiracy13" 15;
"Illicitly consume 'Debtors'" "Conspiracy13" 600;
"Sales" "Conspiracy13" 1;
"Maintenance visit" "Conspiracy13" 5;
"Purchase maintenance tools and transport" "Conspiracy13" 1;
"Purchase other maintenance resources" "Conspiracy13" 1;
"Illicitly deregister 'Sales'" "Conspiracy14" 1;
"Illicitly deregister 'Maintenance visit'" "Conspiracy14" 5;
